Filavacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,0.0964,88.5RG,79.11,152.6,64.2,125.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,0.0985,57.9RG,9.14RG,83.2,113.1,131.9,86.11,161.9,123.9,130.9,81.9,40.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1,0.0904,46.9RG,94.19RG,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,0.1081,9.6RG,103.18RG,117.18RG,128.12RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0.9951,0.3076,79.12RG,95.12RG,102.12RG,18.12RG,34.12RG,59.12RG,63.12RG,2.12RG,39.12RG,16.12RG,93.12RG,1.12,30.12,115.12,6.12,7.12,28.12,160.12,3.12,8.12,23.12,78.12,117.12,145.12,161.12,,,,,,,,,,,,,,,,,,,,,,
103,1,0.0965,117.1RG,28.8,61.8,34.3,8.8,53.5,129.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,0.0952,127.13RG,53.13RG,146.2RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.9988,0.0995,30.18RG,140.18RG,180.6,110.5,129.6,41.6,155.18,50.1,168.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,0.0922,74.18RG,125.18,5.5,172.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,0.1379,99.12RG,129.2RG,78.2RG,65.2RG,82.2RG,58.6RG,132.14RG,91.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,0.0983,25.13RG,104.13RG,101.2RG,144.2RG,119.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,0.0994,176.6RG,123.14RG,46.7RG,10.2RG,28.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
