(Fila vacia),,,,,,,,,,,,,,,,,,
232,1,0.0972,85.2RG,199.5RG,69.4RG,159.4,,,,,,,,,,,,
233,1,0.0987,183.1RG,278.3RG,460.3RG,47.2,81.2,34.4,,,,,,,,,,
234,0.2338,0.0241,306.4RG,111.3RG,165.3RG,236.5RG,336.2,130.5,139.2,218.3,470.2,267.3,187.2,232.1,457.2,,,
235,1,0.0981,206.1RG,185.2,370.4,486.3,125.2,,,,,,,,,,,
236,0.9966,0.0968,55.5RG,381.3RG,388.1RG,36.4,369.4,,,,,,,,,,,
237,1,0.0522,207.1RG,199.4RG,421.2RG,140.2,,,,,,,,,,,,
238,1,0.0923,31.1RG,61.2RG,122.2,,,,,,,,,,,,,
239,1,0.0961,30.2RG,358.3,256.4,,,,,,,,,,,,,
240,1,0.0996,5.2RG,401.2RG,63.1,212.1,25.1,347.5,410.5,67.5,,,,,,,,
241,1,0.0993,396.3RG,297.3,63.2,95.5,150.3,156.4,142.3,172.3,384.4,189.5,,,,,,
242,1,0.0992,162.5RG,542.2RG,88.5,273.4,247.4,99.4,217.2,,,,,,,,,
243,1,0.0999,53.4RG,436.3,448.2,159.3,451.2,324.1,4.2,88.3,301.2,219.1,,,,,,
244,1,0.0992,462.3RG,70.3RG,324.2,197.5,83.3,202.1,,,,,,,,,,
245,1,0.0993,273.3RG,407.4RG,195.3RG,296.5,359.5,274.2,424.4,341.1,498.1,275.2,,,,,,
246,1,0.0984,352.3RG,234.5RG,239.5RG,238.1,390.2,363.2,,,,,,,,,,
247,1,0.0994,134.2RG,194.5RG,194.1RG,422.2,65.5,270.2,13.5,307.1,,,,,,,,
248,1,0.0998,84.1RG,414.3RG,472.2RG,402.2RG,117.5,381.4,,,,,,,,,,
249,1,0.1888,335.5RG,398.5RG,6.3RG,114.2RG,485.1,393.1,155.3,53.2,86.4,,,,,,,
250,1,0.0992,279.1RG,160.4RG,245.1,332.1,490.2,285.1,391.2,,,,,,,,,
251,0.3903,0.0387,105.4RG,432.3RG,320.4RG,397.1RG,11.4,205.4,517.2,37.5,425.1,,,,,,,
252,1,0.0986,354.4RG,307.2RG,471.3,375.3,30.1,,,,,,,,,,,
253,1,0.0394,461.1RG,256.1RG,49.5RG,1.4RG,418.1,224.3,,,,,,,,,,
254,1,0.0986,437.1RG,327.3RG,155.2RG,444.4,40.2,416.2,189.2,,,,,,,,,
255,1,0.0924,60.5RG,167.4,,,,,,,,,,,,,,
256,1,0.0648,192.1RG,469.2RG,56.3RG,268.5,131.3,210.3,235.2,,,,,,,,,
257,1,0.0879,82.1RG,28.4,,,,,,,,,,,,,,
258,0.8013,0.0795,110.5RG,364.1RG,431.4RG,441.1RG,274.1,467.3,315.1,537.2,105.2,,,,,,,
259,1,0.0954,510.1RG,450.2RG,440.2,,,,,,,,,,,,,
