Tentative compound ID#,SBSE1,SBSE10,SBSE11,SBSE12,SBSE13,SBSE14,SBSE15,SBSE16,SBSE3,SBSE9,SBSE4,SBSE5,SBSE6,SBSE7,SBSE8,SBSE2,pval
334,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0.21156368670330417
335,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.5257060830333566
336,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.009823274507519075
337,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.5257060830333566
338,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.038433930236781544
339,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.008265343583560014
342,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0.6963619219820578
343,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0.5626156686992476
344,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.5257060830333566
345,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
346,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0.0015654022580025018
347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7100281378519226
348,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.8662133726349168
350,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0.2825564792379549
351,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0.04596932955310362
352,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.5626156686992476
353,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.276822714688858
354,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0.21156368670330417
355,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0.6963619219820587
356,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0.6963619219820583
358,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
359,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0.2825564792379549
360,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.038433930236781544
361,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0.5257060830333564
362,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
366,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.038433930236781544
368,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.038433930236781544
370,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.8662133726349168
371,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.276822714688858
372,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0.5257060830333564
373,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.8662133726349168
374,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0.5257060830333564
375,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
376,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.7100281378519226
379,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.7100281378519226
380,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.07556056752594142
381,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0.5257060830333564
386,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0.5626156686992476
390,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.276822714688858
393,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.8662133726349168
394,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0.0755605675259412
398,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7100281378519226
399,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0.008265343583560014
400,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.8662133726349168
401,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0.8899519866505381
402,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.038433930236781544
404,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.7100281378519226
410,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0.0755605675259412
412,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.5257060830333564
413,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0.0013698285181453773
414,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.276822714688858
415,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
416,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0.28042097222936935
417,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.8662133726349168
423,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.276822714688858
426,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.7100281378519226
428,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.866213372634917
429,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.5257060830333564
430,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.276822714688858
432,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,4.313707790970511e-05
434,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.08326451666355039
436,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.11384629800665769
438,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7100281378519226
439,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.11384629800665769
442,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7100281378519226
444,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0.4243278351260509
445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
447,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0.21156368670330417
448,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.7100281378519226
450,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
451,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
452,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
454,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.276822714688858
457,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
460,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
464,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
468,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.8662133726349168
469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
470,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
